Thành phố,Quốc gia,Đánh giá chất lượng,Chỉ số không khí,Nồng độ bụi(pm10),Chỉ số Ozon,Chỉ số NO2,Chỉ số CO,Chỉ số SO2,Áp suất khí quyển,Độ ẩm,Ngày,Thời gian,Catching
Wellington,New Zealand,Trung bình - nhóm nhạy cảm chú ý,30,1,-1,-1,-1,-1,1019,91,2025-11-15,2025-11-15 15:16:14,2025-11-15 15:10:00
Wellington,New Zealand,Trung bình - nhóm nhạy cảm chú ý,30,1,-1,-1,-1,-1,1019,91,2025-11-15,2025-11-15 15:16:14,2025-11-15 15:10:00
Amsterdam,Hà Lan,Trung bình - nhóm nhạy cảm chú ý,26,12,11,6,3,2,1004,91,2025-11-13,2025-11-13 07:06:26,2025-11-13 07:00:00
Amsterdam,Hà Lan,Trung bình - nhóm nhạy cảm chú ý,26,12,11,6,3,2,1004,91,2025-11-13,2025-11-13 07:06:26,2025-11-13 07:00:00
Amsterdam,Hà Lan,Trung bình - nhóm nhạy cảm chú ý,33,17,13,6,4,1,1008,89,2025-11-13,2025-11-13 14:05:03,2025-11-13 14:00:00
Amsterdam,Hà Lan,Trung bình - nhóm nhạy cảm chú ý,33,17,13,6,4,1,1008,89,2025-11-13,2025-11-13 14:05:03,2025-11-13 14:00:00
Amsterdam,Hà Lan,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,53,18,0,12,5,1,1008,99,2025-11-14,2025-11-14 01:39:23,2025-11-14 01:30:00
Amsterdam,Hà Lan,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,53,18,0,12,5,1,1008,99,2025-11-14,2025-11-14 01:39:24,2025-11-14 01:30:00
Amsterdam,Hà Lan,Không lành mạnh - mọi người có thể bị ảnh hưởng,69,23,8,13,3,0,1009,99,2025-11-14,2025-11-14 06:58:05,2025-11-14 06:50:00
Amsterdam,Hà Lan,Tốt - ít tác động sức khỏe,12,8,18,5,2,0,1009,97,2025-11-15,2025-11-15 06:32:26,2025-11-15 06:30:00
Amsterdam,Hà Lan,Tốt - ít tác động sức khỏe,12,8,18,5,2,0,1009,97,2025-11-15,2025-11-15 06:32:26,2025-11-15 06:30:00
Amsterdam,Hà Lan,Trung bình - nhóm nhạy cảm chú ý,13,6,18,4,3,0,1009,98,2025-11-15,2025-11-15 15:15:52,2025-11-15 15:10:00
Amsterdam,Hà Lan,Trung bình - nhóm nhạy cảm chú ý,13,6,18,4,3,0,1009,98,2025-11-15,2025-11-15 15:15:52,2025-11-15 15:10:00
Amsterdam - Hà Lan,NL,Tốt - ít tác động sức khỏe,3,5,27,5,4,0,976,98,2025-10-23,2025-10-23 15:12:29,2025-10-23 15:10:00
Amsterdam - Hà Lan,NL,Tốt - ít tác động sức khỏe,3,5,27,5,4,0,976,98,2025-10-23,2025-10-23 15:16:43,2025-10-23 15:10:00
Amsterdam - Hà Lan,NL,Tốt - ít tác động sức khỏe,5,5,22,8,4,0,976,98,2025-10-23,2025-10-23 15:24:46,2025-10-23 15:20:00
Amsterdam - Hà Lan,NL,Tốt - ít tác động sức khỏe,5,5,22,8,4,0,976,98,2025-10-23,2025-10-23 15:33:47,2025-10-23 15:30:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,20,12,24,0,3,0,996,84,2025-10-24,2025-10-24 09:34:50,2025-10-24 09:30:00
